0,4.04E-02,-0.34773,648.3
0,-33.662,-0.31355,637.96
0,-17.092,29.35,650.14
0,17.336,29.498,653.97
0,34.428,-0.38199,652
0,16.919,-29.602,640.47
0,-16.776,-29.378,636.65
0,-66.369,-0.2803,627.05
0,-59.57,30.966,635.62
0,-38.705,55.81,644.32
0,-8.213,68.067,651.2
0,24.76,64.552,656.84
0,52.148,45.669,657.58
0,67.526,16.201,658.4
0,66.707,-16.836,650.45
0,50.838,-45.406,643.74
0,23.685,-62.808,632.77
0,-8.0123,-66.111,628.27
0,-37.616,-54.763,627.98
0,-58.257,-30.833,621.92
0,-97.597,-0.24812,611.74
0,-93.438,31.795,618.64
0,-79.112,61.279,627.9
0,-55.556,84.784,636.89
0,-25.253,99.812,648.57
0,8.7344,103.2,652.52
0,41.924,94.739,651.85
0,70.762,76.234,654.57
0,91.792,49.145,655.33
0,103.13,16.746,659.12
0,101.99,-17.459,651.72
0,89.698,-48.961,642.51
0,68.242,-74.546,635.07
0,40.1,-91.899,630.61
0,8.1231,-99.006,625.08
0,-24.086,-95.251,618.07
0,-53.47,-82.098,617.27
0,-76.343,-59.643,608.52
0,-91.517,-31.641,607.21
0,-127.61,-0.21715,596.62
0,-124.92,31.823,602.03
0,-114.45,62.633,609.13
0,-96.47,90.294,617.24
0,-71.698,112.72,624.55
0,-41.904,128.99,635.69
0,-8.46,136.77,643.2
0,26.049,135.12,645.91
0,59.002,124.48,646.29
0,88.241,105.94,646.55
0,112.01,80.764,647.85
0,128.83,50.473,649.99
0,137.64,16.901,653.09
0,136.28,-17.697,646.42
0,126.06,-50.378,637.32
0,107.91,-78.825,625.68
0,84.382,-102.46,622.11
0,55.989,-119.54,619.68
0,24.459,-129.07,617.79
0,-8.2282,-129.97,612.8
0,-39.784,-122.62,606.54
0,-68.532,-108.25,603.18
0,-92.431,-87.033,596.66
0,-110.58,-60.994,592.05
0,-122.38,-31.617,591.22
0,-156.92,-0.18705,583.43
0,-155.03,31.651,587.27
0,-147.26,62.954,594.06
0,-133.12,92.397,600.99
0,-113.22,118.88,609.44
0,-87.876,140.83,616.86
0,-58.414,157.83,626.87
0,-25.578,167.91,633.46
0,8.8491,169.83,633.92
0,43.005,164.76,634.44
0,75.634,153.26,636.94
0,105.1,135.01,637.51
0,130.07,110.98,636.76
0,149.72,82.492,636.73
0,163.43,50.728,638.22
0,170.52,16.823,640.36
0,169.86,-17.795,638.78
0,160.66,-50.917,628.58
0,145.62,-81.322,621.21
0,124.77,-107.58,612.58
