468,435,605,,
23,605,445,,
23,445,286,,
23,286,264,,
23,264,564,,
468,181,858,,
244,76,192,,
435,706,605,,
605,706,793,,
605,793,974,,
605,974,445,,
932,80,599,,
445,599,321,,
445,99,286,,
286,99,747,,
286,747,794,,
286,351,264,,
264,351,409,,
264,409,715,,
264,715,828,,
617,820,211,,
811,211,36,,
181,36,858,,
631,837,76,,
737,975,442,,
76,442,492,,
647,303,536,,
754,343,592,,
688,343,171,,
688,171,390,,
688,390,641,,
964,158,26,,
80,585,599,,
599,585,595,,
599,595,841,,
599,841,115,,
176,945,70,,
115,198,747,,
747,198,429,,
747,429,298,,
747,298,693,,
812,439,164,,
693,835,519,,
159,835,832,,
159,832,570,,
159,570,29,,
370,726,795,,
820,22,211,,
211,22,344,,
211,344,363,,
211,363,227,,
992,464,733,,
837,52,76,,
737,52,975,,
379,844,511,,
975,511,8,,
314,500,881,,
303,881,702,,
156,357,950,,
770,756,64,,
64,756,284,,
64,757,158,,
158,757,222,,
158,222,813,,
158,813,26,,
352,817,529,,
26,529,595,,
382,312,669,,
595,669,945,,
503,762,530,,
945,173,70,,
70,173,659,,
70,7,429,,
429,7,20,,
429,20,98,,
429,98,439,,
439,133,254,,
439,254,164,,
646,459,420,,
164,626,427,,
776,626,918,,
776,557,877,,
726,557,796,,
726,796,170,,
726,170,816,,
616,103,189,,
10,189,205,,
586,521,621,,
205,621,464,,
531,163,81,,
464,979,733,,
733,979,787,,
733,55,86,,
379,55,844,,
394,777,620,,
844,620,407,,
280,653,406,,
500,406,46,,
172,856,399,,
357,399,285,,
946,755,233,,
388,594,272,,
272,594,106,,
272,741,39,,
818,741,273,,
818,273,293,,
818,293,551,,
77,898,829,,
817,829,847,,
588,711,57,,
312,57,589,,
437,662,664,,
762,997,530,,
530,997,666,,
530,942,619,,
659,942,168,,
659,302,20,,
20,302,191,,
20,191,144,,
20,144,133,,
263,373,845,,
133,845,459,,
88,567,775,,
459,775,895,,
78,712,141,,
450,25,771,,
72,25,392,,
72,534,289,,
487,534,32,,
487,32,130,,
487,130,697,,
103,602,906,,
103,906,521,,
521,783,759,,
521,759,178,,
256,495,710,,
163,556,81,,
81,556,219,,
81,465,549,,
893,465,681,,
893,708,393,,
394,708,777,,
493,353,496,,
777,496,320,,
709,150,251,,
653,251,261,,
504,909,95,,
856,95,307,,
389,335,50,,
755,50,233,,
949,193,962,,
233,489,106,,
106,489,426,,
106,961,273,,
273,961,16,,
273,241,75,,
898,241,887,,
898,885,773,,
711,885,663,,
711,663,290,,
711,290,258,,
13,424,690,,
662,690,45,,
123,125,118,,
944,118,843,,
179,318,780,,
449,780,183,,
541,143,912,,
772,912,191,,
38,532,542,,
191,121,373,,
373,121,253,,
373,553,266,,
567,553,752,,
567,208,194,,
538,208,718,,
712,257,141,,
141,257,467,,
